,number,state,value,datetime_start,datetime_complete,params,params,params,params,params,params,params,params,system_attrs,system_attrs,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values
,,,,,,batch_size,cliprange,ent_coef,gamma,lamdba,lr,n_steps,noptepochs,_number,fail_reason,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
40,40,TrialState.PRUNED,-14.381611824035645,2019-06-09 19:16:53.755835,2019-06-09 19:18:10.960461,32,0.1,1.3949447164128929e-08,0.9,0.95,0.00020730600560653597,1024,20,40,,-15.36949348449707,-15.845952033996582,-14.381611824035645,,,,,,,,,,,,,,,,
41,41,TrialState.PRUNED,-196.99435424804688,2019-06-09 19:18:11.068168,2019-06-09 19:20:13.974764,32,0.1,4.344885695669454e-05,0.99,0.8,0.0004201601508483242,16,20,41,,-16.485340118408203,-20.77457046508789,-48.572303771972656,-76.68003845214844,-102.0557861328125,-125.94953918457031,-111.39488220214844,-172.15481567382812,-125.02305603027344,-121.7251205444336,-154.94451904296875,-131.06130981445312,-196.99435424804688,,,,,,
42,42,TrialState.PRUNED,-10.196367263793945,2019-06-09 19:20:11.397047,2019-06-09 19:21:52.402267,256,0.4,0.0005743229814346865,0.999,0.95,0.267108862608456,2048,1,42,,-15.85290241241455,-11.632161140441895,-10.196367263793945,,,,,,,,,,,,,,,,
43,43,TrialState.PRUNED,-16.68364143371582,2019-06-09 19:20:14.081736,2019-06-09 19:20:57.330084,32,0.1,0.014523899055568576,0.95,0.92,0.0001403489514486931,256,30,43,,-17.288358688354492,-17.619274139404297,-16.68364143371582,,,,,,,,,,,,,,,,
44,44,TrialState.PRUNED,-16.184062957763672,2019-06-09 19:20:57.434938,2019-06-09 19:22:46.890998,32,0.2,1.1908584291901421e-07,0.99,0.99,0.03613425335660933,1024,50,44,,-17.036422729492188,-15.532649040222168,-16.184062957763672,,,,,,,,,,,,,,,,
45,45,TrialState.PRUNED,-15.542492866516113,2019-06-09 19:21:52.513142,2019-06-09 19:22:21.213316,32,0.2,0.0016965094806776332,0.999,0.92,0.10911924295737498,16,10,45,,-13.592631340026855,-15.016258239746094,-15.542492866516113,,,,,,,,,,,,,,,,
46,46,TrialState.PRUNED,-14.917829513549805,2019-06-09 19:22:21.299878,2019-06-09 19:24:09.796116,32,0.3,1.7460287879394285e-05,0.95,0.92,0.03329440759811599,1024,50,46,,-16.6302490234375,-16.08053970336914,-14.917829513549805,,,,,,,,,,,,,,,,
47,47,TrialState.PRUNED,-18.517133712768555,2019-06-09 19:22:47.022571,2019-06-09 19:24:15.718836,256,0.1,0.0011338735819673377,0.999,0.99,4.208867825414236e-05,1024,10,47,,-17.76461410522461,-18.397579193115234,-15.633260726928711,-18.517133712768555,,,,,,,,,,,,,,,
48,48,TrialState.PRUNED,-17.40416145324707,2019-06-09 19:24:09.886640,2019-06-09 19:24:32.628531,256,0.4,0.0017570370501672756,0.9999,0.92,0.0001222510121705426,32,1,48,,-16.199453353881836,-14.700531005859375,-17.782360076904297,-17.40416145324707,,,,,,,,,,,,,,,
49,49,TrialState.PRUNED,-35.75124740600586,2019-06-09 19:24:15.825722,2019-06-09 19:25:03.976648,32,0.2,0.0005506087863424796,0.98,1.0,0.00027200395354781145,128,5,49,,-18.91598129272461,-16.772953033447266,-16.846614837646484,-21.227481842041016,-25.4016170501709,-28.24324607849121,-35.75124740600586,,,,,,,,,,,,
50,50,TrialState.PRUNED,-10.41169548034668,2019-06-09 19:24:32.716631,2019-06-09 19:26:13.897635,128,0.1,0.07767943184460975,0.9,0.9,0.14628186461919243,2048,1,50,,-7.894670009613037,-10.06878662109375,-10.41169548034668,,,,,,,,,,,,,,,,
51,51,TrialState.PRUNED,-15.474878311157227,2019-06-09 19:25:04.085079,2019-06-09 19:25:37.536303,32,0.3,0.0001759252676707157,0.9999,0.8,0.08663847110785046,128,30,51,,-14.954063415527344,-12.743600845336914,-15.474878311157227,,,,,,,,,,,,,,,,
52,52,TrialState.COMPLETE,-395.7679748535156,2019-06-09 19:25:37.646664,2019-06-09 19:29:11.448707,32,0.1,0.0010207704803777647,0.999,1.0,0.0028929518644642094,64,5,52,,-17.24869728088379,-23.547500610351562,-41.370582580566406,-39.74203872680664,-47.626548767089844,-51.782569885253906,-55.84159469604492,-56.448753356933594,-65.77954864501953,-159.15045166015625,-192.6082305908203,-610.5278930664062,-641.4170532226562,-455.16650390625,-601.6643676757812,-363.2913818359375,-201.02761840820312,-507.39471435546875,-395.7679748535156
53,53,TrialState.PRUNED,-10.38365364074707,2019-06-09 19:26:13.987531,2019-06-09 19:26:46.266081,128,0.4,0.00021141550916886664,0.995,0.9,0.17567816098702876,32,50,53,,-12.852940559387207,-7.968830108642578,-10.38365364074707,,,,,,,,,,,,,,,,
54,54,TrialState.PRUNED,-11.866218566894531,2019-06-09 19:26:46.354132,2019-06-09 19:27:15.727182,256,0.2,0.0018835937759167898,0.99,1.0,0.8417078826978407,512,5,54,,-13.278640747070312,-12.278518676757812,-11.866218566894531,,,,,,,,,,,,,,,,
55,55,TrialState.PRUNED,-16.748220443725586,2019-06-09 19:27:15.815959,2019-06-09 19:27:45.088111,32,0.1,1.2158856415428877e-06,0.9,1.0,0.0013839460503739724,128,20,55,,-16.40843963623047,-16.11563491821289,-16.748220443725586,,,,,,,,,,,,,,,,
56,56,TrialState.COMPLETE,-546.3969116210938,2019-06-09 19:27:45.179218,2019-06-09 19:32:15.371436,128,0.4,9.648844794413959e-05,0.995,0.99,0.0010730067769328996,32,10,56,,-15.72850227355957,-57.05073165893555,-19.21181869506836,-436.96368408203125,-178.51702880859375,-279.97509765625,-417.49151611328125,-91.24806213378906,-496.2560119628906,-303.972412109375,-286.01324462890625,-101.30565643310547,-345.76422119140625,-531.4928588867188,-630.5858154296875,-623.9191284179688,-664.5226440429688,-163.2264404296875,-546.3969116210938
57,57,TrialState.COMPLETE,-40.853214263916016,2019-06-09 19:29:11.481825,2019-06-09 19:31:02.796883,32,0.3,6.258818710676168e-06,0.99,0.98,0.0006256869332033044,1024,5,57,,-14.045382499694824,-19.434619903564453,-16.849985122680664,-21.794496536254883,-33.889671325683594,-40.853214263916016,,,,,,,,,,,,,
58,58,TrialState.PRUNED,-15.331169128417969,2019-06-09 19:31:02.830086,2019-06-09 19:32:42.596753,256,0.3,0.04678371515304711,0.99,0.9,0.000423205716934082,2048,10,58,,-16.772859573364258,-16.189088821411133,-15.331169128417969,,,,,,,,,,,,,,,,
59,59,TrialState.PRUNED,-5.815824031829834,2019-06-09 19:32:15.404531,2019-06-09 19:32:37.017759,256,0.1,5.680140017481943e-07,0.995,0.92,0.25959719183473734,128,1,59,,-16.220067977905273,-8.46711540222168,-5.815824031829834,,,,,,,,,,,,,,,,
60,60,TrialState.COMPLETE,-428.40411376953125,2019-06-09 19:32:37.104820,2019-06-09 19:37:02.470268,32,0.1,0.010564725485551024,0.999,0.9,0.006121304118151216,128,30,60,,-17.145694732666016,-17.554729461669922,-18.515819549560547,-24.947092056274414,-59.44841384887695,-156.9416046142578,-104.2130126953125,-310.63763427734375,-416.4522399902344,-301.03143310546875,-364.06854248046875,-626.2471923828125,-426.39947509765625,-436.9873962402344,-551.645263671875,-428.40411376953125,,,
61,61,TrialState.PRUNED,-17.537065505981445,2019-06-09 19:32:42.707709,2019-06-09 19:33:47.221536,32,0.2,1.2917856070485814e-06,0.98,0.99,1.891784235480046e-05,256,50,61,,-15.656015396118164,-17.87954330444336,-17.537065505981445,,,,,,,,,,,,,,,,
62,62,TrialState.COMPLETE,-26.366445541381836,2019-06-09 19:33:47.331605,2019-06-09 19:35:58.906241,64,0.4,9.652324769241093e-07,0.999,0.99,0.030069570729407295,2048,20,62,,-18.578411102294922,-18.935396194458008,-26.366445541381836,,,,,,,,,,,,,,,,
63,63,TrialState.PRUNED,-14.672053337097168,2019-06-09 19:35:58.940557,2019-06-09 19:36:37.890861,256,0.4,0.000756799248385741,0.99,0.99,1.924156455573086e-05,256,1,63,,-18.624683380126953,-16.870838165283203,-19.58782386779785,-14.672053337097168,,,,,,,,,,,,,,,
64,64,TrialState.PRUNED,-17.712081909179688,2019-06-09 19:36:38.001105,2019-06-09 19:37:03.538291,256,0.2,0.0001297769150859259,0.9999,0.8,0.000739717153282996,128,30,64,,-16.088863372802734,-16.95443344116211,-17.712081909179688,,,,,,,,,,,,,,,,
65,65,TrialState.PRUNED,-17.349056243896484,2019-06-09 19:37:02.506076,2019-06-09 19:38:14.450152,256,0.3,2.0525139087697197e-08,0.9,0.92,0.0019919545214867325,1024,20,65,,-15.926183700561523,-17.85207748413086,-18.60529327392578,-17.349056243896484,,,,,,,,,,,,,,,
66,66,TrialState.COMPLETE,-17.458826065063477,2019-06-09 19:37:03.643371,2019-06-09 19:38:42.968192,256,0.4,0.00011035719208702894,0.9,0.98,0.0003420192085916292,2048,5,66,,-19.210758209228516,-17.432270050048828,-17.458826065063477,,,,,,,,,,,,,,,,
67,67,TrialState.PRUNED,-131.6858673095703,2019-06-09 19:38:14.537010,2019-06-09 19:39:34.917529,256,0.2,1.31543554944804e-07,0.98,0.9,0.0060554599478899445,32,20,67,,-26.39682388305664,-83.61463165283203,-82.01493835449219,-79.9633560180664,-110.11041259765625,-130.31268310546875,-129.05746459960938,-121.9226303100586,-107.57307434082031,-131.6858673095703,,,,,,,,,
68,68,TrialState.PRUNED,-17.0379581451416,2019-06-09 19:38:43.005701,2019-06-09 19:39:05.645286,256,0.1,1.0692943306539131e-07,0.995,1.0,0.00042503415645610363,64,5,68,,-18.28358268737793,-16.28657341003418,-17.0379581451416,,,,,,,,,,,,,,,,
69,69,TrialState.PRUNED,-15.536178588867188,2019-06-09 19:39:05.767193,2019-06-09 19:39:34.457658,32,0.3,0.023649015000495138,0.98,0.9,2.892683058218275e-05,32,20,69,,-16.18999671936035,-16.85879135131836,-15.536178588867188,,,,,,,,,,,,,,,,
70,70,TrialState.PRUNED,-16.75110626220703,2019-06-09 19:39:34.566115,2019-06-09 19:41:11.045156,128,0.3,9.64142355719148e-06,0.98,0.95,2.9329001801011224e-05,2048,10,70,,-16.84685707092285,-14.904765129089355,-16.75110626220703,,,,,,,,,,,,,,,,
71,71,TrialState.PRUNED,-13.388193130493164,2019-06-09 19:39:35.021492,2019-06-09 19:40:26.693754,128,0.1,0.0013175933067699672,0.9,0.92,1.3656673416552015e-05,1024,1,71,,-16.604963302612305,-16.097362518310547,-13.388193130493164,,,,,,,,,,,,,,,,
72,72,TrialState.PRUNED,-17.977569580078125,2019-06-09 19:40:26.779174,2019-06-09 19:40:54.845121,256,0.4,0.0001370531927748255,0.9999,1.0,0.0019529635436328463,512,5,72,,-17.312847137451172,-16.8924560546875,-17.977569580078125,,,,,,,,,,,,,,,,
73,73,TrialState.PRUNED,-108.82342529296875,2019-06-09 19:40:54.931995,2019-06-09 19:42:05.923956,64,0.3,0.005563778666223539,0.98,0.98,0.007564074719136701,128,10,73,,-20.927204132080078,-28.118179321289062,-59.625587463378906,-64.72481536865234,-81.93147277832031,-84.7773208618164,-103.57542419433594,-94.12715148925781,-104.17378234863281,-108.82342529296875,,,,,,,,,
74,74,TrialState.PRUNED,-17.824913024902344,2019-06-09 19:41:11.153366,2019-06-09 19:41:43.620632,128,0.3,6.152332665223691e-06,0.99,1.0,0.013947365926504713,512,30,74,,-17.517004013061523,-17.835224151611328,-17.824913024902344,,,,,,,,,,,,,,,,
