,number,state,value,datetime_start,datetime_complete,params,params,params,params,params,params,params,params,system_attrs,system_attrs,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values
,,,,,,batch_size,cliprange,ent_coef,gamma,lamdba,lr,n_steps,noptepochs,_number,fail_reason,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
51,51,TrialState.PRUNED,-12.770891189575195,2019-06-10 16:23:26.941607,2019-06-10 16:28:39.191114,32,0.3,0.0001759252676707157,0.9999,0.8,0.08663847110785046,128,30,51,,-14.870272636413574,-12.219584465026855,-12.770891189575195,,,,,,,,,,,,,,,,,,,
52,52,TrialState.COMPLETE,-599.4226684570312,2019-06-10 16:25:13.412695,2019-06-10 17:09:56.583091,32,0.1,0.0010207704803777647,0.999,1.0,0.0028929518644642094,64,5,52,,-19.260971069335938,-24.20919418334961,-38.11104202270508,-44.22198486328125,-43.673789978027344,-60.39368438720703,-52.123626708984375,-77.82254791259766,-147.48135375976562,-555.0715942382812,-567.9100952148438,-605.6100463867188,-498.42449951171875,-498.553466796875,-599.1727294921875,-603.7669677734375,-595.3468017578125,-603.7564697265625,-599.4226684570312,,,
53,53,TrialState.PRUNED,-2.938732147216797,2019-06-10 16:27:00.435347,2019-06-10 16:31:24.286715,128,0.4,0.00021141550916886664,0.995,0.9,0.17567816098702876,32,50,53,,-7.480463981628418,-4.787938594818115,-2.938732147216797,,,,,,,,,,,,,,,,,,,
54,54,TrialState.PRUNED,-8.302018165588379,2019-06-10 16:28:39.521270,2019-06-10 16:34:08.304079,256,0.2,0.0018835937759167898,0.99,1.0,0.8417078826978407,512,5,54,,-13.24629020690918,-11.550308227539062,-8.302018165588379,,,,,,,,,,,,,,,,,,,
55,55,TrialState.PRUNED,-15.8062105178833,2019-06-10 16:29:57.048300,2019-06-10 16:34:02.791300,32,0.1,1.2158856415428877e-06,0.9,1.0,0.0013839460503739724,128,20,55,,-18.13785171508789,-16.89743423461914,-15.8062105178833,,,,,,,,,,,,,,,,,,,
56,56,TrialState.COMPLETE,-574.7552490234375,2019-06-10 16:30:09.632547,2019-06-10 17:06:58.756438,128,0.4,9.648844794413959e-05,0.995,0.99,0.0010730067769328996,32,10,56,,-23.449092864990234,-44.19069290161133,-98.18054962158203,-96.05838775634766,-221.6034393310547,-295.96728515625,-105.80479431152344,-589.5205688476562,-254.9439239501953,-373.5252990722656,-67.52946472167969,-278.8711853027344,-161.2415008544922,-579.324951171875,-554.280029296875,-545.4134521484375,-438.60137939453125,-456.08367919921875,-574.7552490234375,,,
57,57,TrialState.PRUNED,-17.074581146240234,2019-06-10 16:30:36.695250,2019-06-10 16:39:43.532676,32,0.3,6.258818710676168e-06,0.99,0.98,0.0006256869332033044,1024,5,57,,-15.266233444213867,-17.889995574951172,-17.074581146240234,,,,,,,,,,,,,,,,,,,
58,58,TrialState.PRUNED,-15.458178520202637,2019-06-10 16:31:24.623687,2019-06-10 16:50:34.828552,256,0.3,0.04678371515304711,0.99,0.9,0.000423205716934082,2048,10,58,,-19.58925437927246,-16.228357315063477,-15.458178520202637,,,,,,,,,,,,,,,,,,,
59,59,TrialState.PRUNED,-7.253267765045166,2019-06-10 16:31:36.106816,2019-06-10 16:35:22.320267,256,0.1,5.680140017481943e-07,0.995,0.92,0.25959719183473734,128,1,59,,-7.520959377288818,-7.462327480316162,-7.253267765045166,,,,,,,,,,,,,,,,,,,
60,60,TrialState.PRUNED,-17.534587860107422,2019-06-10 16:32:07.040985,2019-06-10 16:36:26.518737,32,0.1,0.010564725485551024,0.999,0.9,0.006121304118151216,128,30,60,,-15.934269905090332,-14.844782829284668,-17.534587860107422,,,,,,,,,,,,,,,,,,,
