,number,state,value,datetime_start,datetime_complete,params,params,params,params,params,params,params,params,system_attrs,system_attrs,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values
,,,,,,batch_size,cliprange,ent_coef,gamma,lamdba,lr,n_steps,noptepochs,_number,fail_reason,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
34,34,TrialState.PRUNED,-20.455760955810547,2019-08-07 02:58:19.352580,2019-08-07 03:04:47.146101,64,0.1,2.2521141398482903e-08,0.9,0.8,0.0031632352283122,32,30,34,,-7.234755039215088,-7.251238822937012,-22.78915023803711,-27.467792510986328,-9.708759307861328,-19.135990142822266,-17.18991470336914,-19.35758399963379,-25.124675750732422,-20.455760955810547,,,,,,,,,,,
35,35,TrialState.PRUNED,-3.488060474395752,2019-08-07 02:59:36.767845,2019-08-07 03:00:52.128508,64,0.2,0.00013470069437128174,0.995,0.92,0.004766109491313372,128,5,35,,-0.6920052766799927,-2.31455659866333,-3.488060474395752,,,,,,,,,,,,,,,,,,
36,36,TrialState.PRUNED,2.285954236984253,2019-08-07 03:00:52.363051,2019-08-07 03:03:57.748029,64,0.1,2.0107174231432454e-07,0.995,0.99,0.00011200018624937378,512,30,36,,0.7056246995925903,1.5472984313964844,2.285954236984253,,,,,,,,,,,,,,,,,,
37,37,TrialState.PRUNED,-3.8372244834899902,2019-08-07 03:03:57.981603,2019-08-07 03:05:03.324301,64,0.3,3.954294047631311e-08,0.99,1.0,0.025276879377051694,64,5,37,,0.1927291452884674,-3.9990735054016113,-3.8372244834899902,,,,,,,,,,,,,,,,,,
38,38,TrialState.COMPLETE,-11.444518089294434,2019-08-07 03:04:47.362320,2019-08-07 03:20:35.141533,256,0.2,1.8081137253410953e-07,0.995,0.9,0.0007740325005042988,64,50,38,,0.39365631341934204,-5.065530300140381,-12.531312942504883,-20.490333557128906,-37.09624481201172,-36.07095718383789,-54.80131912231445,-68.50369262695312,-214.85012817382812,-160.36550903320312,-193.7157745361328,-74.61524200439453,-36.15391540527344,-21.188854217529297,-12.044367790222168,-9.961363792419434,-9.494966506958008,-7.501939296722412,-11.444518089294434,,
39,39,TrialState.PRUNED,-8.044275283813477,2019-08-07 03:05:03.519815,2019-08-07 03:07:47.357772,64,0.2,0.0001775478541684561,0.9,0.92,0.02428890130256052,64,5,39,,-4.965450763702393,-14.884298324584961,-8.122357368469238,-12.298718452453613,-1.0468032360076904,-14.526344299316406,-8.044275283813477,,,,,,,,,,,,,,
40,40,TrialState.PRUNED,4.910843849182129,2019-08-07 03:07:47.558857,2019-08-07 03:10:43.334175,32,0.1,1.3949447164128929e-08,0.9,0.95,0.00020730600560653597,1024,20,40,,6.492392063140869,5.453366756439209,4.910843849182129,,,,,,,,,,,,,,,,,,
41,41,TrialState.COMPLETE,-730.6190795898438,2019-08-07 03:10:43.593835,2019-08-07 03:26:40.765199,32,0.1,4.344885695669454e-05,0.99,0.8,0.0004201601508483242,16,20,41,,-5.808816432952881,-7.744905948638916,-17.676158905029297,-41.5536994934082,-51.70801544189453,-60.30302047729492,-119.63264465332031,-134.31317138671875,-148.95510864257812,-104.8459701538086,-60.538787841796875,-315.00103759765625,-117.90690612792969,-131.74456787109375,-676.8046264648438,-674.6550903320312,-811.5072021484375,-879.1307373046875,-583.103271484375,-422.8817443847656,-730.6190795898438
42,42,TrialState.PRUNED,12.645129203796387,2019-08-07 03:20:35.185931,2019-08-07 03:23:27.546627,256,0.4,0.0005743229814346865,0.999,0.95,0.267108862608456,2048,1,42,,25.9084415435791,26.315649032592773,12.645129203796387,,,,,,,,,,,,,,,,,,
43,43,TrialState.PRUNED,3.6951141357421875,2019-08-07 03:23:27.761132,2019-08-07 03:25:53.058379,32,0.1,0.014523899055568576,0.95,0.92,0.0001403489514486931,256,30,43,,7.462993621826172,1.9525196552276611,3.6951141357421875,,,,,,,,,,,,,,,,,,
44,44,TrialState.PRUNED,13.867915153503418,2019-08-07 03:25:53.277357,2019-08-07 03:30:20.220370,32,0.2,1.1908584291901421e-07,0.99,0.99,0.03613425335660933,1024,50,44,,18.215559005737305,15.456629753112793,13.867915153503418,,,,,,,,,,,,,,,,,,
45,45,TrialState.PRUNED,4.749996185302734,2019-08-07 03:26:40.794708,2019-08-07 03:28:22.623592,32,0.2,0.0016965094806776332,0.999,0.92,0.10911924295737498,16,10,45,,9.496591567993164,7.668176174163818,4.749996185302734,,,,,,,,,,,,,,,,,,
46,46,TrialState.PRUNED,15.31468677520752,2019-08-07 03:28:22.874652,2019-08-07 03:32:45.472560,32,0.3,1.7460287879394285e-05,0.95,0.92,0.03329440759811599,1024,50,46,,21.647897720336914,23.049531936645508,15.31468677520752,,,,,,,,,,,,,,,,,,
47,47,TrialState.PRUNED,5.405896186828613,2019-08-07 03:30:20.434024,2019-08-07 03:32:32.962270,256,0.1,0.0011338735819673377,0.999,0.99,4.208867825414236e-05,1024,10,47,,2.929504632949829,2.649123430252075,5.405896186828613,,,,,,,,,,,,,,,,,,
48,48,TrialState.PRUNED,1.3868364095687866,2019-08-07 03:32:33.286520,2019-08-07 03:33:30.287050,256,0.4,0.0017570370501672756,0.9999,0.92,0.0001222510121705426,32,1,48,,4.344444274902344,3.918635606765747,1.3868364095687866,,,,,,,,,,,,,,,,,,
49,49,TrialState.PRUNED,-5.145458221435547,2019-08-07 03:32:45.670778,2019-08-07 03:33:46.099349,32,0.2,0.0005506087863424796,0.98,1.0,0.00027200395354781145,128,5,49,,4.085601329803467,-0.7249237895011902,-5.145458221435547,,,,,,,,,,,,,,,,,,
50,50,TrialState.PRUNED,16.99681854248047,2019-08-07 03:33:30.510123,2019-08-07 03:36:08.559714,128,0.1,0.07767943184460975,0.9,0.9,0.14628186461919243,2048,1,50,,13.00080680847168,27.332632064819336,16.99681854248047,,,,,,,,,,,,,,,,,,
51,51,TrialState.PRUNED,7.305438041687012,2019-08-07 03:33:46.306393,2019-08-07 03:35:42.039233,32,0.3,0.0001759252676707157,0.9999,0.8,0.08663847110785046,128,30,51,,13.73967456817627,11.6019868850708,7.305438041687012,,,,,,,,,,,,,,,,,,
52,52,TrialState.PRUNED,-29.241741180419922,2019-08-07 03:35:42.249858,2019-08-07 03:38:20.989136,32,0.1,0.0010207704803777647,0.999,1.0,0.0028929518644642094,64,5,52,,-0.9192207455635071,-7.427343845367432,-14.251678466796875,-17.280351638793945,-28.586071014404297,-22.68527603149414,-29.241741180419922,,,,,,,,,,,,,,
53,53,TrialState.PRUNED,15.513384819030762,2019-08-07 03:36:08.778819,2019-08-07 03:38:26.726046,128,0.4,0.00021141550916886664,0.995,0.9,0.17567816098702876,32,50,53,,13.4678373336792,11.260453224182129,15.513384819030762,,,,,,,,,,,,,,,,,,
54,54,TrialState.PRUNED,14.400619506835938,2019-08-07 03:38:21.235431,2019-08-07 03:39:58.980022,256,0.2,0.0018835937759167898,0.99,1.0,0.8417078826978407,512,5,54,,9.155927658081055,16.062049865722656,14.400619506835938,,,,,,,,,,,,,,,,,,
55,55,TrialState.PRUNED,-7.834345817565918,2019-08-07 03:38:26.931127,2019-08-07 03:40:02.338767,32,0.1,1.2158856415428877e-06,0.9,1.0,0.0013839460503739724,128,20,55,,2.124392509460449,-4.268924713134766,-7.834345817565918,,,,,,,,,,,,,,,,,,
