,number,state,value,datetime_start,datetime_complete,params,params,params,params,params,params,params,params,system_attrs,system_attrs,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values
,,,,,,batch_size,cliprange,ent_coef,gamma,lamdba,lr,n_steps,noptepochs,_number,fail_reason,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
49,49,TrialState.COMPLETE,-449.12060546875,2019-08-07 05:25:51.688536,2019-08-07 05:40:40.245536,32,0.2,0.0005506087863424796,0.98,1.0,0.00027200395354781145,128,5,49,,-307.18084716796875,-264.4169006347656,-401.27056884765625,-316.6104431152344,-360.99847412109375,-365.48895263671875,-407.7347106933594,-323.2181091308594,-371.6235046386719,-364.1568298339844,-385.09173583984375,-379.38983154296875,-390.0465393066406,-388.51263427734375,-375.5216369628906,-412.604248046875,-427.5751037597656,-435.88189697265625,-449.12060546875,
50,50,TrialState.PRUNED,-334.5966796875,2019-08-07 05:26:00.889793,2019-08-07 05:30:03.117774,128,0.1,0.07767943184460975,0.9,0.9,0.14628186461919243,2048,1,50,,-77.3581771850586,-288.8397521972656,-334.5966796875,,,,,,,,,,,,,,,,,
51,51,TrialState.PRUNED,-250.1805877685547,2019-08-07 05:30:03.320570,2019-08-07 05:33:17.942665,32,0.3,0.0001759252676707157,0.9999,0.8,0.08663847110785046,128,30,51,,-201.06591796875,-255.51724243164062,-250.1805877685547,,,,,,,,,,,,,,,,,
52,52,TrialState.PRUNED,-372.30316162109375,2019-08-07 05:33:18.141746,2019-08-07 05:35:42.690537,32,0.1,0.0010207704803777647,0.999,1.0,0.0028929518644642094,64,5,52,,-270.5846252441406,-340.85125732421875,-372.30316162109375,,,,,,,,,,,,,,,,,
53,53,TrialState.PRUNED,-261.20843505859375,2019-08-07 05:35:42.898718,2019-08-07 05:39:09.670149,128,0.4,0.00021141550916886664,0.995,0.9,0.17567816098702876,32,50,53,,-234.47665405273438,-258.93603515625,-261.20843505859375,,,,,,,,,,,,,,,,,
54,54,TrialState.PRUNED,-243.71719360351562,2019-08-07 05:39:09.871480,2019-08-07 05:42:15.664893,256,0.2,0.0018835937759167898,0.99,1.0,0.8417078826978407,512,5,54,,-189.07666015625,-257.2618713378906,-243.71719360351562,,,,,,,,,,,,,,,,,
55,55,TrialState.PRUNED,-306.6717224121094,2019-08-07 05:40:40.279766,2019-08-07 05:43:25.551171,32,0.1,1.2158856415428877e-06,0.9,1.0,0.0013839460503739724,128,20,55,,-269.45330810546875,-374.9090576171875,-306.6717224121094,,,,,,,,,,,,,,,,,
56,56,TrialState.PRUNED,-373.0484313964844,2019-08-07 05:42:15.874311,2019-08-07 05:44:48.035385,128,0.4,9.648844794413959e-05,0.995,0.99,0.0010730067769328996,32,10,56,,-275.73876953125,-303.27752685546875,-373.0484313964844,,,,,,,,,,,,,,,,,
57,57,TrialState.PRUNED,-369.41229248046875,2019-08-07 05:43:25.844439,2019-08-07 05:46:33.458541,32,0.3,6.258818710676168e-06,0.99,0.98,0.0006256869332033044,1024,5,57,,-363.90509033203125,-359.5122985839844,-369.41229248046875,,,,,,,,,,,,,,,,,
58,58,TrialState.COMPLETE,-406.079345703125,2019-08-07 05:44:48.237230,2019-08-07 05:54:42.299193,256,0.3,0.04678371515304711,0.99,0.9,0.000423205716934082,2048,10,58,,-386.24346923828125,-349.31414794921875,-355.8854064941406,-411.94012451171875,-414.22479248046875,-406.079345703125,,,,,,,,,,,,,,
59,59,TrialState.PRUNED,-249.8092803955078,2019-08-07 05:46:33.679097,2019-08-07 05:48:59.029408,256,0.1,5.680140017481943e-07,0.995,0.92,0.25959719183473734,128,1,59,,-210.38037109375,-202.24130249023438,-249.8092803955078,,,,,,,,,,,,,,,,,
60,60,TrialState.PRUNED,-362.4103698730469,2019-08-07 05:48:59.259323,2019-08-07 05:52:26.500663,32,0.1,0.010564725485551024,0.999,0.9,0.006121304118151216,128,30,60,,-317.60223388671875,-374.84063720703125,-362.4103698730469,,,,,,,,,,,,,,,,,
61,61,TrialState.COMPLETE,-383.36834716796875,2019-08-07 05:52:26.883509,2019-08-07 06:15:07.826837,32,0.2,1.2917856070485814e-06,0.98,0.99,1.891784235480046e-05,256,50,61,,-317.412841796875,-381.81787109375,-309.4512939453125,-314.71478271484375,-388.09466552734375,-331.77069091796875,-351.07537841796875,-353.14501953125,-357.70721435546875,-389.84857177734375,-380.46966552734375,-399.0677185058594,-420.265625,-312.59844970703125,-414.1629943847656,-383.36834716796875,,,,
62,62,TrialState.PRUNED,-268.44842529296875,2019-08-07 05:54:42.333156,2019-08-07 06:01:11.386503,64,0.4,9.652324769241093e-07,0.999,0.99,0.030069570729407295,2048,20,62,,-76.72233581542969,-234.7585906982422,-268.44842529296875,,,,,,,,,,,,,,,,,
63,63,TrialState.COMPLETE,-399.11676025390625,2019-08-07 06:01:11.635020,2019-08-07 06:15:21.140326,256,0.4,0.000756799248385741,0.99,0.99,1.924156455573086e-05,256,1,63,,-382.7046203613281,-393.49591064453125,-366.47906494140625,-380.2174377441406,-378.5702209472656,-359.8627624511719,-396.08563232421875,-396.94671630859375,-353.6407775878906,-392.95953369140625,-360.45123291015625,-327.37835693359375,-360.5284118652344,-330.3185729980469,-388.39825439453125,-399.11676025390625,,,,
64,64,TrialState.COMPLETE,-500.30828857421875,2019-08-07 06:15:07.863453,2019-08-07 06:33:50.019867,256,0.2,0.0001297769150859259,0.9999,0.8,0.000739717153282996,128,30,64,,-322.7265319824219,-380.7938232421875,-378.4000244140625,-342.2394714355469,-341.21856689453125,-388.87640380859375,-393.7760314941406,-334.3392639160156,-353.1708984375,-357.83941650390625,-415.6866149902344,-332.1524658203125,-410.67010498046875,-421.805908203125,-411.24420166015625,-462.172119140625,-449.70037841796875,-550.462890625,-500.30828857421875,
