,number,state,value,datetime_start,datetime_complete,params,params,params,params,params,params,params,params,system_attrs,system_attrs,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values
,,,,,,batch_size,cliprange,ent_coef,gamma,lamdba,lr,n_steps,noptepochs,_number,fail_reason,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
34,34,TrialState.PRUNED,-18.17293930053711,2019-08-07 02:45:38.575777,2019-08-07 02:47:29.834348,64,0.1,2.2521141398482903e-08,0.9,0.8,0.0031632352283122,32,30,34,,-12.145991325378418,-14.091646194458008,-18.17293930053711,,,,,,,,,,,,,,,,,,
35,35,TrialState.PRUNED,-24.752742767333984,2019-08-07 02:46:14.273632,2019-08-07 02:48:03.992427,64,0.2,0.00013470069437128174,0.995,0.92,0.004766109491313372,128,5,35,,-13.563794136047363,-16.155088424682617,-26.287267684936523,-19.653087615966797,-24.752742767333984,,,,,,,,,,,,,,,,
36,36,TrialState.PRUNED,-12.759346008300781,2019-08-07 02:47:30.067937,2019-08-07 02:50:10.201728,64,0.1,2.0107174231432454e-07,0.995,0.99,0.00011200018624937378,512,30,36,,-10.048527717590332,-10.743074417114258,-12.759346008300781,,,,,,,,,,,,,,,,,,
37,37,TrialState.COMPLETE,-218.2449493408203,2019-08-07 02:48:04.286061,2019-08-07 02:56:58.030023,64,0.3,3.954294047631311e-08,0.99,1.0,0.025276879377051694,64,5,37,,-31.02349853515625,-28.374935150146484,-20.337703704833984,-35.25341033935547,-219.007568359375,-61.5328254699707,-35.47999954223633,-271.30657958984375,-310.463134765625,-197.5399932861328,-128.24752807617188,-41.239959716796875,-77.02839660644531,-41.47412872314453,-74.75294494628906,-26.692340850830078,-41.36811447143555,-40.830787658691406,-218.2449493408203,,
38,38,TrialState.COMPLETE,-64.02506256103516,2019-08-07 02:50:10.427937,2019-08-07 03:05:08.436596,256,0.2,1.8081137253410953e-07,0.995,0.9,0.0007740325005042988,64,50,38,,-21.497394561767578,-55.54296875,-59.617164611816406,-37.195945739746094,-55.953468322753906,-71.96551513671875,-72.17259216308594,-69.89036560058594,-50.9241943359375,-71.49238586425781,-90.739990234375,-73.07416534423828,-325.2672424316406,-159.8302001953125,-200.45582580566406,-90.95343017578125,-107.84395599365234,-59.14121627807617,-64.02506256103516,,
39,39,TrialState.PRUNED,-11.639287948608398,2019-08-07 02:56:58.056227,2019-08-07 02:58:18.043801,64,0.2,0.0001775478541684561,0.9,0.92,0.02428890130256052,64,5,39,,-10.128829002380371,-12.114225387573242,-11.639287948608398,,,,,,,,,,,,,,,,,,
40,40,TrialState.PRUNED,-9.553655624389648,2019-08-07 02:58:18.321498,2019-08-07 03:01:16.557531,32,0.1,1.3949447164128929e-08,0.9,0.95,0.00020730600560653597,1024,20,40,,-12.136396408081055,-10.9072265625,-9.553655624389648,,,,,,,,,,,,,,,,,,
41,41,TrialState.COMPLETE,-85.3467788696289,2019-08-07 03:01:16.853631,2019-08-07 03:14:45.032923,32,0.1,4.344885695669454e-05,0.99,0.8,0.0004201601508483242,16,20,41,,-12.1513671875,-14.451067924499512,-28.610326766967773,-41.20762252807617,-47.69043731689453,-69.36155700683594,-55.151817321777344,-38.27244186401367,-68.90096282958984,-51.10844039916992,-52.643943786621094,-72.04993438720703,-96.22467041015625,-79.60755157470703,-73.12852478027344,-144.0567169189453,-100.72179412841797,-82.29197692871094,-140.59629821777344,-61.924659729003906,-85.3467788696289
42,42,TrialState.PRUNED,-6.671441555023193,2019-08-07 03:05:08.465289,2019-08-07 03:08:18.113205,256,0.4,0.0005743229814346865,0.999,0.95,0.267108862608456,2048,1,42,,-5.708406925201416,-7.39241886138916,-6.671441555023193,,,,,,,,,,,,,,,,,,
43,43,TrialState.PRUNED,-11.606405258178711,2019-08-07 03:08:18.349660,2019-08-07 03:10:56.294532,32,0.1,0.014523899055568576,0.95,0.92,0.0001403489514486931,256,30,43,,-10.69903564453125,-11.831811904907227,-11.606405258178711,,,,,,,,,,,,,,,,,,
44,44,TrialState.PRUNED,-7.94997501373291,2019-08-07 03:10:56.520620,2019-08-07 03:15:27.803185,32,0.2,1.1908584291901421e-07,0.99,0.99,0.03613425335660933,1024,50,44,,-6.150697231292725,-7.772967338562012,-7.94997501373291,,,,,,,,,,,,,,,,,,
45,45,TrialState.PRUNED,-7.478130340576172,2019-08-07 03:14:45.064127,2019-08-07 03:16:15.705680,32,0.2,0.0016965094806776332,0.999,0.92,0.10911924295737498,16,10,45,,-8.750875473022461,-6.913717746734619,-7.478130340576172,,,,,,,,,,,,,,,,,,
46,46,TrialState.PRUNED,-6.559202671051025,2019-08-07 03:15:28.090959,2019-08-07 03:19:25.871123,32,0.3,1.7460287879394285e-05,0.95,0.92,0.03329440759811599,1024,50,46,,-6.121985912322998,9.947486877441406,-6.559202671051025,,,,,,,,,,,,,,,,,,
47,47,TrialState.PRUNED,-9.621874809265137,2019-08-07 03:16:15.973305,2019-08-07 03:18:22.645425,256,0.1,0.0011338735819673377,0.999,0.99,4.208867825414236e-05,1024,10,47,,-10.976435661315918,-11.712663650512695,-9.621874809265137,,,,,,,,,,,,,,,,,,
48,48,TrialState.PRUNED,-9.080876350402832,2019-08-07 03:18:22.860869,2019-08-07 03:19:35.625335,256,0.4,0.0017570370501672756,0.9999,0.92,0.0001222510121705426,32,1,48,,-11.085719108581543,-8.986748695373535,-9.080876350402832,,,,,,,,,,,,,,,,,,
49,49,TrialState.PRUNED,-30.332000732421875,2019-08-07 03:19:26.134893,2019-08-07 03:20:49.072935,32,0.2,0.0005506087863424796,0.98,1.0,0.00027200395354781145,128,5,49,,-10.344221115112305,-14.2669038772583,-26.170902252197266,-30.332000732421875,,,,,,,,,,,,,,,,,
50,50,TrialState.PRUNED,-6.102512836456299,2019-08-07 03:19:35.832544,2019-08-07 03:22:22.715327,128,0.1,0.07767943184460975,0.9,0.9,0.14628186461919243,2048,1,50,,-7.497312068939209,-5.468588829040527,-6.102512836456299,,,,,,,,,,,,,,,,,,
51,51,TrialState.PRUNED,-8.593584060668945,2019-08-07 03:20:49.299035,2019-08-07 03:22:41.693569,32,0.3,0.0001759252676707157,0.9999,0.8,0.08663847110785046,128,30,51,,-4.023202419281006,-7.866352081298828,-8.593584060668945,,,,,,,,,,,,,,,,,,
52,52,TrialState.PRUNED,-35.613319396972656,2019-08-07 03:22:22.994344,2019-08-07 03:24:21.468295,32,0.1,0.0010207704803777647,0.999,1.0,0.0028929518644642094,64,5,52,,-10.98393440246582,-21.893932342529297,-20.22158432006836,-34.68506622314453,-35.613319396972656,,,,,,,,,,,,,,,,
53,53,TrialState.PRUNED,-8.268196105957031,2019-08-07 03:22:41.916847,2019-08-07 03:24:57.882078,128,0.4,0.00021141550916886664,0.995,0.9,0.17567816098702876,32,50,53,,-8.655372619628906,-7.806136131286621,-8.268196105957031,,,,,,,,,,,,,,,,,,
54,54,TrialState.PRUNED,-8.383386611938477,2019-08-07 03:24:21.743518,2019-08-07 03:26:02.908450,256,0.2,0.0018835937759167898,0.99,1.0,0.8417078826978407,512,5,54,,-7.5907440185546875,-7.615582466125488,-8.383386611938477,,,,,,,,,,,,,,,,,,
55,55,TrialState.PRUNED,-12.461416244506836,2019-08-07 03:24:58.119795,2019-08-07 03:26:33.853309,32,0.1,1.2158856415428877e-06,0.9,1.0,0.0013839460503739724,128,20,55,,-9.464116096496582,-12.46200180053711,-12.461416244506836,,,,,,,,,,,,,,,,,,
56,56,TrialState.PRUNED,-30.06130599975586,2019-08-07 03:26:03.191226,2019-08-07 03:27:45.085998,128,0.4,9.648844794413959e-05,0.995,0.99,0.0010730067769328996,32,10,56,,-19.799219131469727,-16.91808319091797,-31.09128761291504,-30.06130599975586,,,,,,,,,,,,,,,,,
57,57,TrialState.PRUNED,-12.323347091674805,2019-08-07 03:26:34.082117,2019-08-07 03:28:18.562984,32,0.3,6.258818710676168e-06,0.99,0.98,0.0006256869332033044,1024,5,57,,-11.249114036560059,-13.3760404586792,-12.323347091674805,,,,,,,,,,,,,,,,,,
58,58,TrialState.PRUNED,-11.595947265625,2019-08-07 03:27:45.304810,2019-08-07 03:31:02.324556,256,0.3,0.04678371515304711,0.99,0.9,0.000423205716934082,2048,10,58,,-11.060064315795898,-12.018889427185059,-11.595947265625,,,,,,,,,,,,,,,,,,
59,59,TrialState.PRUNED,-3.20996356010437,2019-08-07 03:28:18.790233,2019-08-07 03:29:20.965491,256,0.1,5.680140017481943e-07,0.995,0.92,0.25959719183473734,128,1,59,,-4.361091613769531,-4.826508522033691,-3.20996356010437,,,,,,,,,,,,,,,,,,
60,60,TrialState.COMPLETE,-178.5201416015625,2019-08-07 03:29:21.192745,2019-08-07 03:43:20.657141,32,0.1,0.010564725485551024,0.999,0.9,0.006121304118151216,128,30,60,,-12.183708190917969,-28.241283416748047,-21.05498695373535,-47.07147979736328,-90.64654541015625,-64.79350280761719,-204.51882934570312,-47.31800079345703,-24.608699798583984,-33.319313049316406,-120.28926086425781,-54.234886169433594,-205.03927612304688,-27.57145118713379,-74.68269348144531,-73.07616424560547,-205.37350463867188,-165.4939727783203,-178.5201416015625,,
61,61,TrialState.PRUNED,-13.388379096984863,2019-08-07 03:31:02.592647,2019-08-07 03:34:35.340441,32,0.2,1.2917856070485814e-06,0.98,0.99,1.891784235480046e-05,256,50,61,,-11.364400863647461,-12.348116874694824,-13.388379096984863,,,,,,,,,,,,,,,,,,
62,62,TrialState.PRUNED,-6.891127586364746,2019-08-07 03:34:35.548071,2019-08-07 03:39:30.253835,64,0.4,9.652324769241093e-07,0.999,0.99,0.030069570729407295,2048,20,62,,-11.50525188446045,-10.52409553527832,-6.891127586364746,,,,,,,,,,,,,,,,,,
63,63,TrialState.PRUNED,-11.166228294372559,2019-08-07 03:39:30.463502,2019-08-07 03:40:50.115313,256,0.4,0.000756799248385741,0.99,0.99,1.924156455573086e-05,256,1,63,,-10.938003540039062,-9.76668930053711,-11.166228294372559,,,,,,,,,,,,,,,,,,
64,64,TrialState.PRUNED,-30.056705474853516,2019-08-07 03:40:50.378378,2019-08-07 03:43:10.015737,256,0.2,0.0001297769150859259,0.9999,0.8,0.000739717153282996,128,30,64,,-11.856236457824707,-16.587852478027344,-21.925472259521484,-30.056705474853516,,,,,,,,,,,,,,,,,
65,65,TrialState.PRUNED,-10.160911560058594,2019-08-07 03:43:10.226435,2019-08-07 03:45:13.770122,256,0.3,2.0525139087697197e-08,0.9,0.92,0.0019919545214867325,1024,20,65,,-11.807690620422363,-11.449769973754883,-10.160911560058594,,,,,,,,,,,,,,,,,,
66,66,TrialState.PRUNED,-10.927916526794434,2019-08-07 03:43:20.699738,2019-08-07 03:46:29.972502,256,0.4,0.00011035719208702894,0.9,0.98,0.0003420192085916292,2048,5,66,,-11.131134986877441,-11.27076244354248,-10.927916526794434,,,,,,,,,,,,,,,,,,
