,number,state,value,datetime_start,datetime_complete,params,params,params,params,params,params,params,params,system_attrs,system_attrs,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values
,,,,,,batch_size,cliprange,ent_coef,gamma,lamdba,lr,n_steps,noptepochs,_number,fail_reason,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
33,33,TrialState.PRUNED,-1432.02880859375,2019-08-07 04:20:34.094360,2019-08-07 04:23:06.541125,256,0.3,0.04062919863309306,0.999,0.99,0.23597434442609364,64,1,33,,-1400.536376953125,-1433.3609619140625,-1432.02880859375,,,,,,,,,,,,,,,,,
34,34,TrialState.COMPLETE,-1638.49609375,2019-08-07 04:23:06.730090,2019-08-07 04:45:19.108493,64,0.1,2.2521141398482903e-08,0.9,0.8,0.0031632352283122,32,30,34,,-1518.747314453125,-1538.031494140625,-1578.4083251953125,-1629.6463623046875,-1581.3218994140625,-1589.4156494140625,-1649.280029296875,-1621.6802978515625,-1610.98583984375,-1625.7607421875,-1625.5628662109375,-1642.5670166015625,-1679.884765625,-1655.0306396484375,-1619.407958984375,-1683.6956787109375,-1663.771484375,-1665.364013671875,-1675.8453369140625,-1638.49609375
35,35,TrialState.COMPLETE,-1528.6873779296875,2019-08-07 04:37:59.419833,2019-08-07 04:54:03.364453,64,0.2,0.00013470069437128174,0.995,0.92,0.004766109491313372,128,5,35,,-1561.6060791015625,-1557.128173828125,-1626.72998046875,-1574.98876953125,-1589.0794677734375,-1590.381591796875,-1583.5267333984375,-1540.6558837890625,-1615.4727783203125,-1596.33447265625,-1549.68603515625,-1574.581787109375,-1564.071533203125,-1673.607421875,-1602.8277587890625,-1536.660888671875,-1544.301025390625,-1564.791015625,-1528.6873779296875,
36,36,TrialState.COMPLETE,-1564.69921875,2019-08-07 04:45:19.129892,2019-08-07 05:02:07.135624,64,0.1,2.0107174231432454e-07,0.995,0.99,0.00011200018624937378,512,30,36,,-1550.692626953125,-1584.910400390625,-1663.1904296875,-1616.2349853515625,-1571.408935546875,-1597.4117431640625,-1560.7686767578125,-1571.9066162109375,-1647.9342041015625,-1557.31689453125,-1635.9022216796875,-1564.69921875,,,,,,,,
37,37,TrialState.PRUNED,-1506.1239013671875,2019-08-07 04:54:03.386181,2019-08-07 04:56:49.772214,64,0.3,3.954294047631311e-08,0.99,1.0,0.025276879377051694,64,5,37,,-1510.142578125,-1493.36083984375,-1506.1239013671875,,,,,,,,,,,,,,,,,
38,38,TrialState.COMPLETE,-1556.580810546875,2019-08-07 04:56:49.991269,2019-08-07 05:21:15.121777,256,0.2,1.8081137253410953e-07,0.995,0.9,0.0007740325005042988,64,50,38,,-1591.744384765625,-1572.2071533203125,-1583.5181884765625,-1646.4287109375,-1570.922119140625,-1625.704345703125,-1592.440673828125,-1561.5849609375,-1581.9744873046875,-1608.8616943359375,-1549.5767822265625,-1560.071044921875,-1658.7425537109375,-1600.018798828125,-1635.7850341796875,-1592.2503662109375,-1669.102783203125,-1566.485595703125,-1556.580810546875,
39,39,TrialState.PRUNED,-1430.338623046875,2019-08-07 05:02:07.158205,2019-08-07 05:04:54.889628,64,0.2,0.0001775478541684561,0.9,0.92,0.02428890130256052,64,5,39,,-1544.3150634765625,-1446.8685302734375,-1430.338623046875,,,,,,,,,,,,,,,,,
40,40,TrialState.PRUNED,-1550.439208984375,2019-08-07 05:04:55.198396,2019-08-07 05:09:30.510998,32,0.1,1.3949447164128929e-08,0.9,0.95,0.00020730600560653597,1024,20,40,,-1566.2401123046875,-1538.5889892578125,-1550.439208984375,,,,,,,,,,,,,,,,,
41,41,TrialState.PRUNED,-1554.370849609375,2019-08-07 05:09:30.700986,2019-08-07 05:13:07.984357,32,0.1,4.344885695669454e-05,0.99,0.8,0.0004201601508483242,16,20,41,,-1486.7874755859375,-1514.1966552734375,-1554.370849609375,,,,,,,,,,,,,,,,,
42,42,TrialState.PRUNED,-1465.3602294921875,2019-08-07 05:13:08.175752,2019-08-07 05:17:52.512527,256,0.4,0.0005743229814346865,0.999,0.95,0.267108862608456,2048,1,42,,-1409.6988525390625,-1392.4583740234375,-1465.3602294921875,,,,,,,,,,,,,,,,,
43,43,TrialState.PRUNED,-1563.4351806640625,2019-08-07 05:17:52.702876,2019-08-07 05:22:05.882591,32,0.1,0.014523899055568576,0.95,0.92,0.0001403489514486931,256,30,43,,-1530.0716552734375,-1548.364013671875,-1563.4351806640625,,,,,,,,,,,,,,,,,
44,44,TrialState.PRUNED,-1447.1099853515625,2019-08-07 05:21:15.145494,2019-08-07 05:27:09.759572,32,0.2,1.1908584291901421e-07,0.99,0.99,0.03613425335660933,1024,50,44,,-1471.24755859375,-1423.44921875,-1447.1099853515625,,,,,,,,,,,,,,,,,
45,45,TrialState.PRUNED,-1417.2965087890625,2019-08-07 05:22:06.153114,2019-08-07 05:25:23.424962,32,0.2,0.0016965094806776332,0.999,0.92,0.10911924295737498,16,10,45,,-1417.9134521484375,-1357.502197265625,-1417.2965087890625,,,,,,,,,,,,,,,,,
46,46,TrialState.PRUNED,-1390.807861328125,2019-08-07 05:25:23.618671,2019-08-07 05:31:23.446719,32,0.3,1.7460287879394285e-05,0.95,0.92,0.03329440759811599,1024,50,46,,-1489.8040771484375,-1458.457763671875,-1390.807861328125,,,,,,,,,,,,,,,,,
47,47,TrialState.COMPLETE,-1558.4796142578125,2019-08-07 05:27:10.004283,2019-08-07 05:39:41.109364,256,0.1,0.0011338735819673377,0.999,0.99,4.208867825414236e-05,1024,10,47,,-1583.45263671875,-1586.6241455078125,-1604.7376708984375,-1634.853271484375,-1570.6494140625,-1557.847412109375,-1606.5201416015625,-1622.8046875,-1554.073486328125,-1629.118896484375,-1603.044189453125,-1558.4796142578125,,,,,,,,
48,48,TrialState.COMPLETE,-1563.8485107421875,2019-08-07 05:31:23.795123,2019-08-07 05:44:59.970838,256,0.4,0.0017570370501672756,0.9999,0.92,0.0001222510121705426,32,1,48,,-1593.8642578125,-1547.73681640625,-1550.611572265625,-1579.694580078125,-1610.90478515625,-1622.7540283203125,-1572.7945556640625,-1587.978515625,-1547.3157958984375,-1587.781005859375,-1577.6796875,-1643.821044921875,-1572.417724609375,-1552.2197265625,-1577.241943359375,-1553.7657470703125,-1554.293701171875,-1539.893798828125,-1563.8485107421875,
49,49,TrialState.PRUNED,-1569.47119140625,2019-08-07 05:39:41.139358,2019-08-07 05:42:05.429513,32,0.2,0.0005506087863424796,0.98,1.0,0.00027200395354781145,128,5,49,,-1552.2353515625,-1549.3717041015625,-1569.47119140625,,,,,,,,,,,,,,,,,
50,50,TrialState.PRUNED,-1379.360107421875,2019-08-07 05:42:05.615360,2019-08-07 05:46:14.443434,128,0.1,0.07767943184460975,0.9,0.9,0.14628186461919243,2048,1,50,,-1401.5347900390625,-1397.178955078125,-1379.360107421875,,,,,,,,,,,,,,,,,
51,51,TrialState.PRUNED,-1395.7537841796875,2019-08-07 05:44:59.998333,2019-08-07 05:48:14.161981,32,0.3,0.0001759252676707157,0.9999,0.8,0.08663847110785046,128,30,51,,-1390.9742431640625,-1388.8988037109375,-1395.7537841796875,,,,,,,,,,,,,,,,,
52,52,TrialState.COMPLETE,-1569.159423828125,2019-08-07 05:46:14.633996,2019-08-07 06:01:46.936300,32,0.1,0.0010207704803777647,0.999,1.0,0.0028929518644642094,64,5,52,,-1550.6226806640625,-1553.56005859375,-1628.45068359375,-1572.3984375,-1619.984130859375,-1568.2044677734375,-1623.7122802734375,-1620.48974609375,-1539.4913330078125,-1577.555419921875,-1660.272216796875,-1565.5318603515625,-1523.430908203125,-1583.290283203125,-1556.912353515625,-1610.2742919921875,-1559.64013671875,-1538.178466796875,-1569.159423828125,
53,53,TrialState.PRUNED,-1412.130615234375,2019-08-07 05:48:14.354850,2019-08-07 05:51:52.984565,128,0.4,0.00021141550916886664,0.995,0.9,0.17567816098702876,32,50,53,,-1397.1591796875,-1435.8731689453125,-1412.130615234375,,,,,,,,,,,,,,,,,
54,54,TrialState.PRUNED,-1388.4351806640625,2019-08-07 05:51:53.176597,2019-08-07 05:54:48.966065,256,0.2,0.0018835937759167898,0.99,1.0,0.8417078826978407,512,5,54,,-1452.00390625,-1361.2271728515625,-1388.4351806640625,,,,,,,,,,,,,,,,,
55,55,TrialState.COMPLETE,-1607.345458984375,2019-08-07 05:54:49.160341,2019-08-07 06:12:53.490943,32,0.1,1.2158856415428877e-06,0.9,1.0,0.0013839460503739724,128,20,55,,-1552.3912353515625,-1545.4681396484375,-1610.560302734375,-1654.979736328125,-1604.663330078125,-1579.0018310546875,-1582.187744140625,-1651.046142578125,-1582.4892578125,-1550.2803955078125,-1586.195068359375,-1650.119384765625,-1590.3284912109375,-1630.7513427734375,-1598.406005859375,-1581.2891845703125,-1555.024658203125,-1612.1549072265625,-1607.345458984375,
56,56,TrialState.COMPLETE,-1568.6392822265625,2019-08-07 06:01:46.966982,2019-08-07 06:18:21.561600,128,0.4,9.648844794413959e-05,0.995,0.99,0.0010730067769328996,32,10,56,,-1586.3355712890625,-1558.16015625,-1549.5062255859375,-1585.788818359375,-1569.561279296875,-1570.121337890625,-1599.1595458984375,-1569.398193359375,-1545.6744384765625,-1553.86279296875,-1575.332763671875,-1562.3905029296875,-1600.6807861328125,-1551.7816162109375,-1528.749755859375,-1550.968017578125,-1627.2838134765625,-1539.919189453125,-1568.6392822265625,
