,number,state,value,datetime_start,datetime_complete,params,params,params,params,params,params,params,params,system_attrs,system_attrs,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values
,,,,,,batch_size,cliprange,ent_coef,gamma,lamdba,lr,n_steps,noptepochs,_number,fail_reason,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
56,56,TrialState.COMPLETE,-707.5662231445312,2019-08-07 03:17:40.993008,2019-08-07 03:26:06.301748,128,0.4,9.648844794413959e-05,0.995,0.99,0.0010730067769328996,32,10,56,,-15.67926025390625,-8.535653114318848,-68.72431945800781,-107.93049621582031,-57.2332878112793,-56.485633850097656,-80.24413299560547,-92.68701934814453,-103.05961608886719,-97.78651428222656,-179.0605926513672,-176.89295959472656,-425.79022216796875,-532.4224853515625,-637.5216674804688,-362.8810729980469,-410.9202575683594,-640.1575927734375,-707.5662231445312,,
57,57,TrialState.PRUNED,-16.78179931640625,2019-08-07 03:20:38.603221,2019-08-07 03:22:08.538466,32,0.3,6.258818710676168e-06,0.99,0.98,0.0006256869332033044,1024,5,57,,-17.25983238220215,-18.71181297302246,-16.78179931640625,,,,,,,,,,,,,,,,,,
58,58,TrialState.PRUNED,-16.21611213684082,2019-08-07 03:22:08.754508,2019-08-07 03:24:44.244790,256,0.3,0.04678371515304711,0.99,0.9,0.000423205716934082,2048,10,58,,-12.278364181518555,-12.343210220336914,-16.21611213684082,,,,,,,,,,,,,,,,,,
59,59,TrialState.PRUNED,-13.353373527526855,2019-08-07 03:24:44.452889,2019-08-07 03:25:34.904027,256,0.1,5.680140017481943e-07,0.995,0.92,0.25959719183473734,128,1,59,,-10.042738914489746,-10.270832061767578,-13.353373527526855,,,,,,,,,,,,,,,,,,
60,60,TrialState.PRUNED,-22.195650100708008,2019-08-07 03:25:35.130619,2019-08-07 03:27:29.080865,32,0.1,0.010564725485551024,0.999,0.9,0.006121304118151216,128,30,60,,-15.441340446472168,-16.551959991455078,-22.195650100708008,,,,,,,,,,,,,,,,,,
61,61,TrialState.PRUNED,-17.774410247802734,2019-08-07 03:26:06.353253,2019-08-07 03:29:23.784879,32,0.2,1.2917856070485814e-06,0.98,0.99,1.891784235480046e-05,256,50,61,,-15.075187683105469,-16.792430877685547,-17.774410247802734,,,,,,,,,,,,,,,,,,
62,62,TrialState.PRUNED,-11.204244613647461,2019-08-07 03:27:29.300120,2019-08-07 03:31:27.847256,64,0.4,9.652324769241093e-07,0.999,0.99,0.030069570729407295,2048,20,62,,-9.169513702392578,-10.56437873840332,-11.204244613647461,,,,,,,,,,,,,,,,,,
63,63,TrialState.PRUNED,-12.415712356567383,2019-08-07 03:29:24.020796,2019-08-07 03:30:37.000549,256,0.4,0.000756799248385741,0.99,0.99,1.924156455573086e-05,256,1,63,,-15.073387145996094,-13.836267471313477,-12.415712356567383,,,,,,,,,,,,,,,,,,
64,64,TrialState.PRUNED,-23.48408317565918,2019-08-07 03:30:37.234494,2019-08-07 03:32:25.089845,256,0.2,0.0001297769150859259,0.9999,0.8,0.000739717153282996,128,30,64,,-15.205108642578125,-18.252967834472656,-23.48408317565918,,,,,,,,,,,,,,,,,,
65,65,TrialState.PRUNED,-15.291204452514648,2019-08-07 03:31:28.067504,2019-08-07 03:33:16.641390,256,0.3,2.0525139087697197e-08,0.9,0.92,0.0019919545214867325,1024,20,65,,-13.845298767089844,-14.264760971069336,-15.291204452514648,,,,,,,,,,,,,,,,,,
